id_tercero,tipo_sujeto,nombres,apellidos,fecha_nacimiento,nacionalidad,numero_documento,tipo_documento,pais_residencia,coincidencia
T0000000,PERSONA_NATURAL,JUAN SARA,HERNANDEZ MARTINEZ,1964-03-24,VENEZOLANA,X2458591,PASAPORTE,ESPAÑA,0
T0000001,PERSONA_NATURAL,ANDRES LUISA,MARTINEZ TORRES,1988-01-18,PERUANA,U8038374,PASAPORTE,PERU,0
T0000002,PERSONA_NATURAL,CARLOS JUAN,RODRIGUEZ GARCIA,1971-05-05,PERUANA,229494902,CE,VENEZUELA,0
T0000003,PERSONA_NATURAL,ANA ANA,RAMIREZ HERNANDEZ,2001-01-24,BRASILEÑA,D7350753,PASAPORTE,VENEZUELA,0
T0000004,PERSONA_NATURAL,DAVID CAMILA,LOPEZ RAMIREZ,1962-12-03,COLOMBIANA,H5855124,PASAPORTE,VENEZUELA,0
T0000005,PERSONA_JURIDICA,GOMEZ GARCIA INVERSIONES S.A.S. 5987,,,,274648506,NIT,USA,0
T0000006,PERSONA_NATURAL,DAVID CARLOS,GOMEZ RAMIREZ,1990-03-18,PERUANA,1002696249,CC,ESPAÑA,0
T0000007,PERSONA_NATURAL,DAVID SARA,TORRES MARTINEZ,1993-06-27,COLOMBIANA,1774807637,CC,COLOMBIA,0
T0000008,PERSONA_NATURAL,DANIEL CARLOS,GOMEZ MARTINEZ,1986-12-11,PERUANA,P7637601,PASAPORTE,BRASIL,0
T0000009,PERSONA_NATURAL,MARIA LUISA,TORRES TORRES,1966-12-19,ESPAÑOLA,M7073292,PASAPORTE,PERU,0
T0000010,PERSONA_JURIDICA,RODRIGUEZ TORRES LOGISTICA SAS 781,,,,217734861,NIT,MEXICO,0
T0000011,PERSONA_NATURAL,DAVID DANIEL,RAMIREZ GOMEZ,1974-07-20,BRASILEÑA,I1192619,PASAPORTE,VENEZUELA,0
T0000012,PERSONA_NATURAL,JORGE CARLOS,LOPEZ GOMEZ,1968-07-06,BRASILEÑA,1560680889,CC,ECUADOR,0
T0000013,PERSONA_JURIDICA,RODRIGUEZ TORRES COMERCIAL CIA 4899,,,,786066793,NIT,ARGENTINA,0
